Table,Nom,Signification,Type,Format,Taille,Obligatoire,Calculée
FORMATEUR,id_formateur,Identifiant unique du formateur,Entier,"1, 2, 3…",11,Oui,Non
FORMATEUR,nom,Nom du formateur,Texte,Alphabétique,50,Oui,Non
FORMATEUR,prenom,Prénom du formateur,Texte,Alphabétique,50,Oui,Non
FORMATEUR,email,Adresse email du formateur,Texte,Email,100,Oui,Non
COURS,id_cours,Identifiant unique du cours,Entier,"1, 2, 3…",11,Oui,Non
COURS,titre,Titre du cours,Texte,Alphanumérique,100,Oui,Non
COURS,description,Description du cours,Texte,Texte libre,500,Non,Non
COURS,duree,Durée du cours en heures,Entier,Numérique,3,Oui,Non
COURS,id_formateur,Identifiant du formateur qui enseigne le cours,Entier,"1, 2, 3…",11,Oui,Non
COURS,id_matiere,Identifiant de la matière du cours,Entier,"1, 2, 3…",11,Oui,Non
MATIÈRE,id_matiere,Identifiant unique de la matière,Entier,"1, 2, 3…",11,Oui,Non
MATIÈRE,nom_matiere,Nom de la matière,Texte,Alphabétique,100,Oui,Non
MATIÈRE,description,Description de la matière,Texte,Texte libre,500,Non,Non
